Order ID,Avg Score,Score Std,Min Score,Max Score,% Same Type,% Recent Sales
4723364,3.602,0.089,3.55,3.705,100.0,100.0
4742669,4.545,0.214,4.408,4.792,100.0,100.0
4752865,2.273,0.629,1.576,2.798,100.0,100.0
4755196,4.029,0.313,3.745,4.364,100.0,100.0
4756192,2.322,0.0,2.322,2.322,0.0,100.0
4756320,4.811,0.016,4.792,4.821,100.0,100.0
4756829,4.17,0.042,4.128,4.211,100.0,100.0
4757939,4.549,0.196,4.436,4.776,100.0,100.0
4757966,2.322,0.0,2.322,2.322,0.0,100.0
4758025,4.523,0.163,4.423,4.711,100.0,100.0
4758316,0.392,0.0,0.392,0.392,100.0,100.0
4758324,4.178,0.073,4.136,4.263,100.0,100.0
4758529,4.228,0.0,4.228,4.228,33.333,100.0
4758615,3.682,1.521,1.931,4.666,100.0,100.0
4758672,3.957,0.119,3.876,4.094,100.0,100.0
4758996,4.51,0.224,4.253,4.666,100.0,100.0
4759024,3.654,0.189,3.538,3.872,100.0,100.0
4759088,1.423,2.318,0.085,4.1,100.0,33.333
4759260,1.336,1.342,0.025,2.706,100.0,100.0
4759498,4.222,0.212,3.979,4.364,100.0,100.0
4759512,4.43,0.37,4.004,4.666,100.0,100.0
4759561,2.565,0.053,2.518,2.622,33.333,100.0
4759562,4.6,0.185,4.408,4.776,100.0,100.0
4759604,4.201,0.41,3.855,4.653,100.0,100.0
4759647,4.266,0.312,3.906,4.465,100.0,66.667
4759723,4.434,0.328,4.121,4.776,100.0,100.0
4759846,4.449,0.183,4.251,4.611,100.0,100.0
4760530,1.369,0.113,1.304,1.499,100.0,100.0
4760630,3.602,0.373,3.195,3.929,100.0,100.0
4760651,4.261,0.22,4.008,4.408,100.0,100.0
4760900,4.821,0.0,4.821,4.821,100.0,100.0
4761220,1.404,0.313,1.046,1.625,100.0,100.0
4761433,1.559,0.496,0.987,1.863,100.0,100.0
4761446,3.698,0.269,3.471,3.995,100.0,100.0
4761696,3.504,1.203,2.129,4.363,100.0,100.0
4762154,2.868,0.773,1.983,3.416,100.0,100.0
4762330,4.327,0.068,4.249,4.368,100.0,100.0
4762406,0.811,0.696,0.008,1.213,100.0,100.0
4762597,1.838,1.342,0.343,2.937,66.667,100.0
4762739,2.216,1.591,0.466,3.572,100.0,66.667
4763065,3.318,0.187,3.196,3.532,100.0,66.667
4763086,2.218,0.612,1.529,2.7,100.0,66.667
4763087,3.804,0.337,3.416,3.999,100.0,100.0
4763606,3.394,0.363,3.02,3.745,100.0,100.0
4763898,4.616,0.032,4.598,4.653,100.0,100.0
4764028,2.002,1.06,1.208,3.206,100.0,100.0
4764094,3.981,0.114,3.856,4.079,100.0,100.0
4764103,0.482,0.515,0.036,1.046,100.0,100.0
4765154,4.013,0.33,3.794,4.392,100.0,100.0
4765502,3.443,1.078,2.537,4.636,100.0,33.333
4765899,4.257,0.087,4.172,4.347,100.0,100.0
4765948,2.558,0.247,2.318,2.811,0.0,100.0
4766326,4.006,0.007,3.997,4.01,100.0,100.0
4766430,3.908,0.115,3.789,4.019,100.0,100.0
4767066,2.322,0.0,2.322,2.322,0.0,100.0
4768014,4.354,0.089,4.251,4.405,100.0,100.0
4768037,2.259,0.077,2.215,2.348,0.0,100.0
4768126,3.346,1.458,1.683,4.405,100.0,100.0
4768528,4.364,0.041,4.324,4.405,100.0,100.0
4769110,3.823,0.562,3.175,4.174,100.0,100.0
4769269,3.428,0.508,3.024,3.999,100.0,66.667
4770115,3.782,0.27,3.624,4.094,100.0,66.667
4770310,3.185,1.434,1.536,4.14,100.0,100.0
4771029,3.721,0.306,3.398,4.008,100.0,100.0
4771097,1.146,0.231,1.013,1.413,100.0,33.333
4771641,4.396,0.21,4.268,4.638,100.0,100.0
4772017,4.657,0.016,4.638,4.666,100.0,100.0
4772152,4.138,0.182,3.929,4.251,100.0,100.0
4773295,0.95,0.377,0.708,1.384,100.0,100.0
4773534,2.63,1.509,0.895,3.634,100.0,100.0
4773833,3.027,1.128,2.135,4.295,100.0,0.0
4775247,4.662,0.102,4.578,4.776,100.0,100.0
4775292,2.857,0.686,2.074,3.35,100.0,33.333
4775785,2.005,1.063,1.334,3.23,100.0,33.333
4775892,4.159,0.0,4.159,4.159,0.0,100.0
4776066,4.808,0.012,4.796,4.821,100.0,100.0
4776534,3.476,0.646,3.033,4.218,100.0,100.0
4776574,4.68,0.122,4.601,4.821,100.0,100.0
4776648,4.63,0.041,4.583,4.653,100.0,100.0
4777578,4.394,0.027,4.369,4.423,100.0,100.0
4777828,2.58,0.028,2.564,2.612,100.0,0.0
4778326,4.573,0.098,4.463,4.653,100.0,100.0
4778535,1.84,0.106,1.718,1.907,0.0,100.0
4778557,4.272,0.118,4.196,4.408,100.0,100.0
4778791,1.648,1.69,0.191,3.501,100.0,100.0
4778794,1.659,1.661,0.238,3.486,100.0,100.0
4778797,2.627,0.984,1.49,3.195,100.0,100.0
4779669,4.436,0.0,4.436,4.436,100.0,100.0
