orderID,avg_probability_top3,max_probability,min_probability,avg_gla_diff,avg_bedroom_diff,pct_same_property_type,pct_sold_within_90_days
4723364,0.308,0.476,0.188,687.667,1.0,100.0,66.667
4742669,0.636,0.94,0.437,83.136,1.667,100.0,100.0
4752865,0.254,0.337,0.204,1090.667,1.0,100.0,100.0
4755196,0.722,0.785,0.679,196.333,0.0,100.0,100.0
4756192,0.006,0.011,0.004,81.667,0.0,0.0,100.0
4756320,0.911,0.955,0.855,181.333,0.0,100.0,100.0
4756829,0.303,0.533,0.062,344.667,0.333,100.0,100.0
4757939,0.69,0.81,0.578,206.587,1.333,100.0,100.0
4757966,0.004,0.004,0.003,85.667,0.0,0.0,100.0
4758025,0.314,0.351,0.281,638.801,1.0,100.0,100.0
4758316,0.849,0.871,0.836,90.333,0.0,100.0,100.0
4758324,0.797,0.931,0.654,194.0,0.333,100.0,100.0
4758529,0.001,0.002,0.001,139.667,0.333,0.0,100.0
4758615,0.284,0.711,0.014,145.333,1.667,100.0,100.0
4758672,0.834,0.953,0.75,154.333,0.667,100.0,100.0
4758996,0.808,0.903,0.669,76.333,0.0,100.0,100.0
4759024,0.714,0.955,0.509,361.944,1.0,100.0,100.0
4759088,0.799,0.859,0.703,320.0,0.0,100.0,0.0
4759260,0.676,0.923,0.426,463.667,0.667,100.0,66.667
4759498,0.488,0.766,0.31,243.667,0.333,100.0,100.0
4759512,0.512,0.943,0.273,304.667,0.0,100.0,100.0
4759561,0.003,0.006,0.002,1037.333,2.333,0.0,100.0
4759562,0.73,0.846,0.598,197.0,0.333,100.0,100.0
4759604,0.894,0.985,0.725,169.0,0.667,100.0,100.0
4759647,0.86,0.881,0.836,381.0,0.667,100.0,66.667
4759723,0.481,0.966,0.052,212.333,0.667,100.0,100.0
4759846,0.315,0.345,0.294,354.0,0.667,100.0,100.0
4760530,0.013,0.013,0.013,850.333,2.333,100.0,66.667
4760630,0.868,0.976,0.771,220.0,1.0,100.0,100.0
4760651,0.403,0.652,0.253,307.0,0.0,100.0,100.0
4760900,0.968,0.991,0.951,114.133,0.0,100.0,100.0
4761220,0.016,0.02,0.011,174.333,0.333,33.333,100.0
4761433,0.033,0.048,0.025,1225.0,0.333,100.0,100.0
4761446,0.221,0.273,0.126,499.667,0.333,100.0,100.0
4761696,0.376,0.789,0.09,40.0,0.333,66.667,100.0
4762154,0.237,0.309,0.133,369.0,0.0,100.0,100.0
4762330,0.907,0.943,0.852,139.333,0.0,100.0,100.0
4762406,0.251,0.484,0.093,2108.667,1.667,100.0,0.0
4762597,0.015,0.024,0.01,106.667,0.0,0.0,100.0
4762739,0.366,0.855,0.107,392.667,0.333,100.0,33.333
4763065,0.693,0.764,0.654,441.333,0.333,100.0,66.667
4763086,0.542,0.616,0.407,466.0,0.667,100.0,100.0
4763087,0.576,0.739,0.353,31.667,0.667,100.0,100.0
4763606,0.338,0.756,0.009,218.667,1.0,100.0,100.0
4763898,0.83,0.922,0.673,139.0,1.333,100.0,100.0
4764028,0.009,0.012,0.007,629.667,2.333,100.0,100.0
4764094,0.385,0.567,0.27,310.333,0.667,100.0,100.0
4764103,0.131,0.324,0.032,753.333,2.0,0.0,100.0
4765154,0.39,0.962,0.089,480.0,1.0,100.0,100.0
4765502,0.276,0.803,0.009,643.667,1.0,100.0,0.0
4765899,0.414,0.856,0.13,185.333,0.333,100.0,100.0
4765948,0.026,0.056,0.005,389.667,1.667,0.0,100.0
4766326,0.829,0.921,0.657,104.333,0.667,100.0,100.0
4766430,0.411,0.719,0.249,140.667,0.667,100.0,100.0
4767066,0.009,0.017,0.005,83.667,0.0,0.0,100.0
4768014,0.804,0.959,0.524,64.0,0.0,100.0,100.0
4768037,0.033,0.043,0.023,1268.333,3.0,0.0,100.0
4768126,0.068,0.106,0.022,281.0,1.0,66.667,100.0
4768528,0.853,0.941,0.767,75.667,1.0,100.0,100.0
4769110,0.919,0.946,0.892,129.667,0.667,100.0,100.0
4769269,0.221,0.325,0.149,416.667,1.667,100.0,33.333
4770115,0.723,0.883,0.475,136.333,0.333,100.0,33.333
4770310,0.621,0.914,0.354,830.333,1.333,100.0,33.333
4771029,0.437,0.495,0.332,911.68,1.333,100.0,100.0
4771097,0.047,0.056,0.028,197.333,0.333,100.0,33.333
4771641,0.52,0.647,0.355,171.0,1.0,100.0,100.0
4772017,0.864,0.97,0.745,60.0,1.333,100.0,100.0
4772152,0.936,0.988,0.833,247.667,0.0,100.0,100.0
4773295,0.525,0.657,0.449,735.0,0.333,100.0,33.333
4773534,0.095,0.195,0.037,1248.667,2.0,100.0,66.667
4773833,0.028,0.077,0.001,668.333,0.333,100.0,0.0
4775247,0.888,0.966,0.761,224.667,0.333,100.0,100.0
4775292,0.414,0.608,0.289,375.333,2.0,100.0,33.333
4775785,0.681,0.912,0.325,393.0,1.333,100.0,33.333
4775892,0.003,0.006,0.002,92.667,0.333,0.0,100.0
4776066,0.944,0.982,0.919,121.667,0.0,100.0,100.0
4776534,0.259,0.306,0.179,1106.367,0.667,100.0,100.0
4776574,0.833,0.942,0.717,161.0,0.667,100.0,100.0
4776648,0.429,0.598,0.283,231.667,1.667,100.0,100.0
4777578,0.864,0.954,0.688,205.0,0.0,100.0,100.0
4777828,0.603,0.888,0.405,221.333,,,0.0
4778326,0.571,0.684,0.422,173.737,0.667,100.0,100.0
4778535,0.045,0.097,0.016,643.035,4.0,0.0,100.0
4778557,0.11,0.158,0.079,532.0,3.0,100.0,100.0
4778791,0.093,0.22,0.005,190.667,0.333,100.0,100.0
4778794,0.069,0.177,0.009,195.0,0.333,100.0,100.0
4778797,0.083,0.108,0.032,144.667,0.333,100.0,100.0
4779669,0.15,0.152,0.149,153.0,0.667,100.0,100.0
