feature,importance,feature_name
14,0.33061746,property_match_score
9,0.242459,bathroom_similarity
5,0.109703794,bathroom_diff
17,0.09829067,type_size_interaction
1,0.06138814,gla_diff_pct
15,0.04179807,total_diff_score
2,0.03503764,lot_size_diff
6,0.025311984,room_count_diff
0,0.017907152,gla_diff
16,0.012748275,size_recency_interaction
3,0.0126588,lot_size_diff_pct
11,0.010113844,same_storey_type
7,0.0019651093,size_similarity
4,0.0,bedroom_diff
8,0.0,bedroom_similarity
10,0.0,same_property_type
12,0.0,sold_recently_90
13,0.0,sold_recently_180
